;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Nigrán;36;Pontevedra;36035;514.0;228.0;6.3018341307815;4.63398692810458;Galicia;18005.0;10789.0;291;48805;2.697191584020762;742.0;6.87737510427287;4.764111595143201;2.113263509129669
Noblejas;45;Toledo;45115;37.0;30.0;4.61538461538462;2.56205128205128;Castilla-La Mancha;3721.0;1865.0;0;3826;0.0;67.0;3.5924932975871315;1.9839142091152813;1.6085790884718498
Nogueira de Ramuín;32;Ourense;32052;5.0;10.0;3.0485302148776534;3.1229683291539;Galicia;2067.0;2599.0;46;5798;1.7699115044247788;15.0;0.5771450557906888;0.1923816852635629;0.3847633705271258
Noia;15;Coruña, A;15057;393.0;66.0;3.3603587550487;2.39510489510489;Galicia;14240.0;8915.0;94;10464;1.0544026920919798;459.0;5.148625911385306;4.408300616937745;0.7403252944475603
Noja;39;Cantabria;39047;69.0;10.0;5.93220338983051;4.36188963240219;Cantabria;2650.0;11938.0;373;13805;3.124476461718881;79.0;0.6617523873345619;0.5779862623555034;0.0837661249790584
Noreña;33;Asturias;33042;287.0;36.0;4.84097222222222;4.31825814131448;Asturias, Principado de;5113.0;2939.0;17;1358;0.5784280367471929;323.0;10.990132698196666;9.765226267437903;1.2249064307587614
Novelda;3;Alicante;3093;400.0;64.0;3.24074074074074;3.09597852943682;Comunitat Valenciana;25611.0;14203.0;25;18407;0.1760191508836161;464.0;3.266915440399916;2.816306414137858;0.4506090262620573
Novés;45;Toledo;45118;8.0;73.0;4.157687290851066;3.04347826086956;Castilla-La Mancha;3179.0;1859.0;6;1279;0.322754168908015;81.0;4.357181280258203;0.4303388918773534;3.92684238838085
Nucia, la;3;Alicante;3094;241.0;472.0;5.0;6.0306342364532;Comunitat Valenciana;18108.0;8736.0;299;69659;3.4226190476190474;713.0;8.161630036630036;2.7586996336996337;5.402930402930403
Nueva Carteya;14;Córdoba;14046;8.0;6.0;3.3556591234157507;2.7032598275321136;Andalucía;5341.0;2688.0;2;2529;0.0744047619047619;14.0;0.5208333333333334;0.2976190476190476;0.2232142857142857
Nuevo Baztán;28;Madrid;28100;1.0;136.0;6.91136854542415;5.33653846153846;Madrid, Comunidad de;6630.0;3939.0;19;3453;0.4823559279004824;137.0;3.478040111703478;0.0253871541000253;3.4526529576034526
Nules;12;Castellón/Castelló;12082;345.0;71.0;3.41181084038304;2.82258064516129;Comunitat Valenciana;13256.0;8949.0;47;46290;0.5251983461839311;416.0;4.648564085372668;3.855179349648005;0.793384735724662
Numancia de la Sagra;45;Toledo;45119;201.0;63.0;5.8451437264793;3.98550724637681;Castilla-La Mancha;5170.0;2639.0;0;4680;0.0;264.0;10.003789314134142;7.616521409624858;2.387267904509284
Nájera;26;Rioja, La;26102;278.0;6.0;3.94104431852448;3.336079012169648;Rioja, La;8060.0;4844.0;32;4347;0.6606110652353427;284.0;5.862923203963667;5.73905862923204;0.1238645747316267
Níjar;4;Almería;4066;141.0;320.0;4.0;3.28769591064673;Andalucía;31458.0;13218.0;1383;190881;10.463004993191102;461.0;3.487668331063701;1.0667271901951885;2.4209411408685124
Obejo;14;Córdoba;14047;4.0;35.0;3.3556591234157507;4.73684210526316;Andalucía;2025.0;1035.0;6;1945;0.5797101449275363;39.0;3.768115942028986;0.3864734299516908;3.3816425120772946
Ocaña;45;Toledo;45121;1153.0;55.0;4.90909090909091;3.18627450980392;Castilla-La Mancha;13023.0;7182.0;23;22649;0.3202450570871623;1208.0;16.819827346143136;16.05402394876079;0.7658033973823447
Ogíjares;18;Granada;18145;330.0;181.0;4.80468465637833;4.44444444444444;Andalucía;14559.0;6963.0;28;7545;0.4021255206089329;511.0;7.338790751113026;4.739336492890995;2.5994542582220306
Oia;36;Pontevedra;36036;2.0;39.0;4.185609799188884;3.24596875681662;Galicia;3104.0;1669.0;77;18382;4.613541042540444;41.0;2.456560814859197;0.1198322348711803;2.3367285799880166
Ojén;29;Málaga;29076;145.0;38.0;7.40740740740741;5.15046296296296;Andalucía;4023.0;1659.0;314;27058;18.92706449668475;183.0;11.030741410488243;8.740204942736588;2.2905364677516578
Oleiros;15;Coruña, A;15058;1755.0;452.0;5.74712643678161;4.59671474661569;Galicia;36922.0;18355.0;300;51367;1.6344320348678834;2207.0;12.023971669844729;9.56142740397712;2.462544265867611
Olesa de Montserrat;8;Barcelona;8147;1163.0;152.0;7.14761904761905;5.50855586249233;Cataluña;24132.0;9888.0;5;11878;0.0505663430420712;1315.0;13.298948220064725;11.76173139158576;1.5372168284789645
Oliva;46;Valencia/Valéncia;46181;730.0;140.0;3.42071123321123;3.90117694805195;Comunitat Valenciana;25119.0;18888.0;1450;132198;7.676831850910631;870.0;4.606099110546379;3.864887759423973;0.7412113511224058
Oliva de la Frontera;6;Badajoz;6093;8.0;13.0;2.962972945965435;2.22222222222222;Extremadura;5083.0;3602.0;0;9260;0.0;21.0;0.5830094392004442;0.2220988339811216;0.3609106052193226
Oliva, La;35;Palmas, Las;35014;872.0;585.0;7.45121777524569;7.21518987341772;Canarias;27768.0;11471.0;5548;898624;48.36544329177927;1457.0;12.701595327347224;7.601778397698544;5.09981692964868
Olivares;41;Sevilla;41067;44.0;111.0;4.70058139534884;3.43284996359286;Andalucía;9452.0;3961.0;11;2348;0.2777076495834385;155.0;3.91315324413027;1.110830598333754;2.802322645796516
Olivella;8;Barcelona;8148;14.0;131.0;7.2758907154332;6.19834710743802;Cataluña;4127.0;1968.0;232;23241;11.788617886178862;145.0;7.367886178861789;0.7113821138211383;6.65650406504065
Olivenza;6;Badajoz;6095;140.0;120.0;3.21757402548726;3.12390350877193;Extremadura;11871.0;5732.0;11;122802;0.1919050942079553;260.0;4.535938590369853;2.442428471737613;2.09351011863224
Olleria, l';46;Valencia/Valéncia;46183;102.0;15.0;2.64880952380952;2.52013808975834;Comunitat Valenciana;8404.0;4259.0;9;6277;0.2113172106128199;117.0;2.7471237379666587;2.3949283869452924;0.3521953510213665
Olmedo;47;Valladolid;47104;77.0;12.0;3.76325269758017;3.87590886677425;Castilla y León;3574.0;2230.0;20;3389;0.8968609865470852;89.0;3.991031390134529;3.4529147982062782;0.5381165919282511
Olot;17;Girona;17114;2040.0;617.0;5.34687423878623;4.44444444444444;Cataluña;36299.0;16496.0;180;49270;1.0911736178467508;2657.0;16.10693501454898;12.366634335596508;3.740300678952473
Olula del Río;4;Almería;4069;117.0;22.0;3.21428571428571;3.00536027098527;Andalucía;6258.0;3791.0;2;1181;0.0527565286204167;139.0;3.666578739118966;3.0862569242943816;0.5803218148245846
Olvera;11;Cádiz;11024;17.0;23.0;2.98149468306303;2.82920671479825;Andalucía;8016.0;4311.0;62;17406;1.438181396427743;40.0;0.9278589654372535;0.3943400603108327;0.5335189051264208
Olèrdola;8;Barcelona;8145;24.0;94.0;7.16342838196287;4.81191501503092;Cataluña;3847.0;1701.0;47;7785;2.7630805408583186;118.0;6.937095825984715;1.4109347442680775;5.526161081716637
Olías del Rey;45;Toledo;45122;160.0;151.0;4.93827160493827;4.09862869198312;Castilla-La Mancha;8225.0;3467.0;19;3669;0.5480242284395731;311.0;8.970291318142486;4.61494087107009;4.3553504470723965
Onda;12;Castellón/Castelló;12084;783.0;96.0;3.62637362637363;3.31761006289308;Comunitat Valenciana;24939.0;13877.0;12;60696;0.0864740217626288;879.0;6.33422209411256;5.64242992001153;0.6917921741010304
Ondara;3;Alicante;3095;227.0;54.0;4.0;3.07142857142857;Comunitat Valenciana;7080.0;3749.0;58;26926;1.5470792211256337;281.0;7.495332088556949;6.054947986129634;1.440384102427314
Onil;3;Alicante;3096;175.0;26.0;3.19148936170213;2.28141664519554;Comunitat Valenciana;7569.0;4422.0;26;2316;0.5879692446856626;201.0;4.545454545454546;3.957485300768883;0.5879692446856626
Ontinyent;46;Valencia/Valéncia;46184;1018.0;63.0;3.38046098728201;3.28051087984863;Comunitat Valenciana;35946.0;18072.0;48;39672;0.2656042496679947;1081.0;5.981629039397964;5.633023461708721;0.348605577689243
Ontígola;45;Toledo;45123;58.0;157.0;6.10828994253402;4.59183673469388;Castilla-La Mancha;4743.0;2341.0;2;7484;0.0854335753951302;215.0;9.184109354976506;2.4775736864587783;6.706535668517727
Orba;3;Alicante;3097;22.0;28.0;3.85188564476886;3.12519074650552;Comunitat Valenciana;2233.0;1680.0;104;11994;6.190476190476191;50.0;2.9761904761904763;1.3095238095238095;1.6666666666666667
Ordes;15;Coruña, A;15059;521.0;58.0;3.41880341880342;2.13525835866261;Galicia;12605.0;7726.0;16;14973;0.2070929329536629;579.0;7.4941755112606785;6.74346362930365;0.7507118819570282
Orellana la Vieja;6;Badajoz;6097;12.0;15.0;3.4361943773281;2.19298245614035;Extremadura;2627.0;2132.0;7;576;0.3283302063789868;27.0;1.2664165103189493;0.5628517823639775;0.7035647279549718
Orgaz;45;Toledo;45124;3.0;19.0;4.157687290851066;2.45901639344262;Castilla-La Mancha;2625.0;1657.0;9;3056;0.5431502715751357;22.0;1.327700663850332;0.1810500905250452;1.1466505733252867
Oria;4;Almería;4070;5.0;5.0;3.995843624895013;3.2061202807089906;Andalucía;2215.0;1359.0;21;3749;1.5452538631346575;10.0;0.7358351729212657;0.3679175864606328;0.3679175864606328
Orihuela;3;Alicante;3099;1045.0;666.0;4.01785714285714;5.33167834890966;Comunitat Valenciana;78940.0;67268.0;4778;950738;7.102931557352679;1711.0;2.543557114824285;1.553487542367842;0.9900695724564428
Oropesa;45;Toledo;45125;24.0;27.0;4.07965417711257;3.26705308826274;Castilla-La Mancha;2626.0;2091.0;7;11525;0.3347680535628886;51.0;2.4390243902439024;1.147776183644189;1.291248206599713
Oropesa del Mar/Orpesa;12;Castellón/Castelló;12085;832.0;125.0;5.71428571428571;4.91071428571429;Comunitat Valenciana;9755.0;19511.0;1784;76668;9.143560043052638;957.0;4.904925426682384;4.2642611859976425;0.6406642406847419
Oroso;15;Coruña, A;15060;401.0;53.0;3.87931034482759;3.17919075144509;Galicia;7530.0;3690.0;47;8494;1.273712737127371;454.0;12.303523035230352;10.86720867208672;1.4363143631436317
Orotava, La;38;Santa Cruz de Tenerife;38026;700.0;305.0;5.0;4.46375786163522;Canarias;42219.0;17375.0;523;182981;3.010071942446044;1005.0;5.784172661870503;4.028776978417266;1.7553956834532374
Ortigueira;15;Coruña, A;15061;99.0;59.0;3.0721234424569;2.0;Galicia;5485.0;5192.0;233;8060;4.487673343605547;158.0;3.0431432973805856;1.9067796610169487;1.1363636363636365
Ossa de Montiel;2;Albacete;2057;5.0;8.0;3.027839300212005;2.441288893370269;Castilla-La Mancha;2241.0;1825.0;82;3753;4.493150684931507;13.0;0.7123287671232876;0.273972602739726;0.4383561643835616
Osuna;41;Sevilla;41068;110.0;129.0;3.78108711839166;2.94117647058824;Andalucía;17594.0;7984.0;20;23702;0.250501002004008;239.0;2.993486973947896;1.377755511022044;1.6157314629258517
Ourense;32;Ourense;32054;8586.0;389.0;4.45987748683827;3.87440557065217;Galicia;104596.0;72998.0;368;82028;0.5041234006411135;8975.0;12.294857393353242;11.7619660812625;0.5328913120907423
Outeiro de Rei;27;Lugo;27039;0.0;49.0;2.8216744173774844;3.86740331491713;Galicia;5216.0;2508.0;7;10013;0.2791068580542264;49.0;1.953748006379585;0.0;1.953748006379585
Outes;15;Coruña, A;15062;31.0;27.0;2.45295698924731;2.27272727272727;Galicia;6150.0;3852.0;122;6380;3.167185877466251;58.0;1.505711318795431;0.8047767393561787;0.7009345794392523
Oviedo;33;Asturias;33044;16519.0;320.0;6.52173913043478;4.21701443816698;Asturias, Principado de;217552.0;128454.0;1033;194465;0.804178927865228;16839.0;13.108972861880517;12.859856446665733;0.249116415214785
Paderne;15;Coruña, A;15064;4.0;31.0;3.66003568353889;3.03030303030303;Galicia;2393.0;1165.0;27;2152;2.3175965665236054;35.0;3.004291845493562;0.3433476394849785;2.660944206008584
Padrenda;32;Ourense;32056;1.0;5.0;3.0485302148776534;2.918654998896532;Galicia;1653.0;1565.0;6;11715;0.3833865814696485;6.0;0.3833865814696485;0.0638977635782747;0.3194888178913738
Padrón;15;Coruña, A;15065;203.0;31.0;3.84615384615385;2.41190476190476;Galicia;8317.0;4954.0;88;25880;1.7763423496164716;234.0;4.723455793298345;4.097698829228906;0.6257569640694388
Padul;18;Granada;18150;86.0;72.0;3.62211007591442;3.69912153650391;Andalucía;8934.0;5083.0;39;8467;0.7672634271099744;158.0;3.108400550855794;1.6919142238835334;1.4164863269722603
Paiporta;46;Valencia/Valéncia;46186;1188.0;48.0;5.0;4.06297717799513;Comunitat Valenciana;26401.0;11759.0;27;13331;0.2296113615103325;1236.0;10.511097882473;10.102899906454631;0.4081979760183689
Palacios y Villafranca, Los;41;Sevilla;41069;151.0;43.0;4.24272213024283;3.53682170542636;Andalucía;38678.0;14084.0;24;12804;0.1704061346208463;194.0;1.3774495881851747;1.0721385969894917;0.305310991195683
Palafolls;8;Barcelona;8155;390.0;102.0;7.51321775884126;5.74051071447239;Cataluña;9646.0;4433.0;52;34356;1.1730205278592376;492.0;11.098578840514325;8.79765395894428;2.300924881570043
Palafrugell;17;Girona;17117;949.0;341.0;5.76923076923077;4.56722906001096;Cataluña;23046.0;17021.0;2360;216532;13.865225309911288;1290.0;7.578873156688796;5.575465601316021;2.0034075553727746
Palamós;17;Girona;17118;1020.0;243.0;6.82353174603174;5.48780487804878;Cataluña;18196.0;12244.0;1015;151762;8.289774583469454;1263.0;10.315256452139824;8.330610911466842;1.9846455406729824
Palas de Rei;27;Lugo;27040;18.0;18.0;2.52933614832273;2.53541881369518;Galicia;3316.0;2640.0;39;6232;1.4772727272727273;36.0;1.3636363636363635;0.6818181818181818;0.6818181818181818
Palau d'Anglesola, El;25;Lleida;25158;31.0;15.0;4.86666666666667;3.4375;Cataluña;2205.0;887.0;0;3736;0.0;46.0;5.186020293122886;3.4949267192784665;1.6910935738444195
Palau-solità i Plegamans;8;Barcelona;8156;393.0;318.0;7.58917553191489;7.08435065690036;Cataluña;14917.0;5855.0;3;23956;0.0512382578992314;711.0;12.143467122117848;6.712211784799317;5.431255337318532
Palazuelos de Eresma;40;Segovia;40155;201.0;68.0;5.42282111082318;4.73761904761905;Castilla y León;5597.0;2399.0;22;4210;0.9170487703209672;269.0;11.213005418924553;8.378491037932472;2.83451438099208
Palencia;34;Palencia;34120;4389.0;121.0;5.20877378435518;4.3202614379085;Castilla y León;77090.0;46481.0;54;59655;0.1161765022267163;4510.0;9.702889352638712;9.442567930982552;0.2603214216561605
Pallaresos, Els;43;Tarragona;43100;17.0;49.0;5.89473684210526;5.59440559440559;Cataluña;4872.0;1786.0;24;650;1.343784994400896;66.0;3.695408734602464;0.9518477043673012;2.7435610302351625
Pallejà;8;Barcelona;8157;464.0;94.0;8.78378378378378;6.95283252101434;Cataluña;11636.0;4795.0;24;10745;0.5005213764337852;558.0;11.637122002085508;9.67674661105318;1.9603753910323247
Palma;7;Balears, Illes;7040;28266.0;2185.0;8.33333333333333;6.89655172413793;Balears, Illes;419366.0;192259.0;2938;3415244;1.528146926801866;30451.0;15.83853031587598;14.702042557175476;1.136487758700503
Palma de Cervelló, La;8;Barcelona;8905;202.0;45.0;8.25653427072315;6.27509599863413;Cataluña;3015.0;1318.0;3;1216;0.2276176024279211;247.0;18.74051593323217;15.326251896813352;3.4142640364188166
Palma del Condado, La;21;Huelva;21054;52.0;66.0;3.70555555555556;3.21611505122143;Andalucía;10787.0;4854.0;1;4773;0.0206015657189946;118.0;2.430984754841368;1.0712814173877214;1.3597033374536465
Palma del Río;14;Córdoba;14049;171.0;38.0;3.79310344827586;3.12244590259892;Andalucía;20910.0;9445.0;12;11441;0.1270513499205929;209.0;2.212811011116993;1.810481736368449;0.4023292747485442
Palmas de Gran Canaria, Las;35;Palmas, Las;35016;19028.0;1409.0;7.04545454545455;4.39882697947214;Canarias;378675.0;186336.0;4271;808237;2.2920959986261376;20437.0;10.967821569637644;10.211660656019234;0.7561609136184098
Palomares del Río;41;Sevilla;41070;12.0;130.0;6.1576354679803;4.99227138643068;Andalucía;9020.0;2882.0;12;3410;0.4163775156141568;142.0;4.9271339347675225;0.4163775156141568;4.510756419153366
Palos de la Frontera;21;Huelva;21055;72.0;59.0;4.74581724581725;4.25531914893617;Andalucía;12001.0;4295.0;52;47697;1.210710128055879;131.0;3.050058207217695;1.6763678696158324;1.3736903376018623
Pals;17;Girona;17124;41.0;44.0;6.5;4.37029547241883;Cataluña;2516.0;4108.0;1169;115667;28.45666991236612;85.0;2.069133398247322;0.9980525803310614;1.071080817916261
Pantoja;45;Toledo;45128;36.0;38.0;3.81049888309754;3.91166870665035;Castilla-La Mancha;3408.0;1626.0;0;3112;0.0;74.0;4.551045510455104;2.2140221402214024;2.337023370233702
Pantón;27;Lugo;27041;6.0;25.0;2.8216744173774844;1.88153458021008;Galicia;2429.0;1678.0;57;4870;3.3969010727056017;31.0;1.8474374255065555;0.3575685339690107;1.4898688915375446
Papiol, El;8;Barcelona;8158;173.0;68.0;7.57984630419332;5.84375290869039;Cataluña;4232.0;1895.0;8;9973;0.4221635883905013;241.0;12.717678100263852;9.129287598944591;3.588390501319261
Paracuellos de Jarama;28;Madrid;28104;1068.0;353.0;8.90774125132556;7.61904761904762;Madrid, Comunidad de;26235.0;5538.0;52;51242;0.9389671361502347;1421.0;25.65908270133622;19.284940411700976;6.374142289635247
Paradas;41;Sevilla;41071;5.0;11.0;4.939061551348131;2.43478260869565;Andalucía;6850.0;3289.0;3;3125;0.0912131346913955;16.0;0.486470051687443;0.1520218911523259;0.334448160535117
Paradela;27;Lugo;27042;0.0;5.0;2.8216744173774844;2.2057685839005488;Galicia;1723.0;1060.0;12;1664;1.1320754716981132;5.0;0.4716981132075472;0.0;0.4716981132075472
Paredes de Nava;34;Palencia;34123;11.0;7.0;3.06122448979592;3.3804530394102783;Castilla y León;1875.0;1410.0;1;577;0.0709219858156028;18.0;1.2765957446808511;0.7801418439716312;0.4964539007092198
Parets del Vallès;8;Barcelona;8159;755.0;174.0;7.86516853932584;6.31269243794171;Cataluña;18907.0;7748.0;9;42127;0.1161590087764584;929.0;11.990191017036654;9.744450180691793;2.245740836344863
Parla;28;Madrid;28106;5334.0;271.0;7.2289156626506;6.4;Madrid, Comunidad de;131689.0;47326.0;55;78096;0.116215188268605;5605.0;11.843384186282382;11.270760258631618;0.5726239276507628
Parres;33;Asturias;33045;194.0;45.0;4.33063271604938;3.18181818181818;Asturias, Principado de;5292.0;4098.0;220;8427;5.368472425573451;239.0;5.832113225963885;4.7340165934602245;1.0980966325036603
Paso, El;38;Santa Cruz de Tenerife;38027;60.0;103.0;5.13865309992063;4.12371134020619;Canarias;7745.0;3700.0;580;12639;15.675675675675675;163.0;4.405405405405405;1.6216216216216215;2.783783783783784
Pastoriza, A;27;Lugo;27044;9.0;13.0;2.8216744173774844;1.30597014925373;Galicia;2918.0;1676.0;0;1776;0.0;22.0;1.3126491646778042;0.5369928400954654;0.7756563245823389
Paterna;46;Valencia/Valéncia;46190;2911.0;521.0;5.44554455445545;6.77083333333333;Comunitat Valenciana;71361.0;32071.0;156;106537;0.4864207539521686;3432.0;10.701256586947707;9.07673599201771;1.624520594929999
Paterna del Campo;21;Huelva;21056;4.0;11.0;4.313293184460584;2.85714285714286;Andalucía;3478.0;1687.0;0;198;0.0;15.0;0.8891523414344991;0.2371072910491997;0.6520450503852994
Pazos de Borbén;36;Pontevedra;36037;1.0;16.0;4.185609799188884;3.3881812334034;Galicia;2975.0;1408.0;4;657;0.2840909090909091;17.0;1.2073863636363635;0.0710227272727272;1.1363636363636365
Peal de Becerro;23;Jaén;23066;30.0;18.0;2.75987565395405;1.62433326489739;Andalucía;5325.0;2938.0;0;1298;0.0;48.0;1.6337644656228727;1.0211027910142954;0.6126616746085772
Pechina;4;Almería;4074;32.0;20.0;3.90782828282828;3.81184161921867;Andalucía;4143.0;2019.0;4;2342;0.1981178801386825;52.0;2.575532441802873;1.58494304110946;0.9905894006934126
Pedralba;46;Valencia/Valéncia;46191;21.0;46.0;3.09278350515464;3.37724601411579;Comunitat Valenciana;2852.0;2398.0;18;4648;0.7506255212677231;67.0;2.793994995829858;0.8757297748123436;1.9182652210175144
Pedreguer;3;Alicante;3101;150.0;120.0;3.96596420554754;3.69872238897868;Comunitat Valenciana;8006.0;6351.0;424;40508;6.676113997795623;270.0;4.251299008030231;2.3618327822390173;1.889466225791214
Pedrera;41;Sevilla;41072;4.0;7.0;4.939061551348131;3.524814792568226;Andalucía;5147.0;2229.0;0;1082;0.0;11.0;0.4934948407357559;0.1794526693584567;0.3140421713772992
Pedrezuela;28;Madrid;28108;389.0;233.0;7.14285714285714;5.79268292682927;Madrid, Comunidad de;6226.0;3049.0;14;1882;0.4591669399803214;622.0;20.40013119055428;12.75828140373893;7.641849786815349
Pedro Abad;14;Córdoba;14050;7.0;20.0;3.3556591234157507;3.34219858156028;Andalucía;2808.0;1492.0;0;103;0.0;27.0;1.8096514745308312;0.4691689008042895;1.3404825737265416
Pedro Muñoz;13;Ciudad Real;13061;70.0;51.0;4.13362487852284;1.88356164383562;Castilla-La Mancha;7325.0;4464.0;9;1922;0.2016129032258064;121.0;2.710573476702509;1.5681003584229392;1.14247311827957
Pedrola;50;Zaragoza;50204;89.0;90.0;3.98272851976556;3.79611330698287;Aragón;3572.0;1729.0;2;50401;0.1156737998843262;179.0;10.352805089647196;5.147484094852516;5.205320994794679
Pedroso, El;41;Sevilla;41073;4.0;24.0;4.939061551348131;2.82549120525879;Andalucía;2038.0;1374.0;12;2163;0.8733624454148472;28.0;2.037845705967977;0.2911208151382823;1.7467248908296944
Pedroñeras, Las;16;Cuenca;16154;48.0;57.0;3.31806680903358;2.53623188405797;Castilla-La Mancha;6638.0;3387.0;0;2710;0.0;105.0;3.100088573959256;1.41718334809566;1.682905225863596
Pegalajar;23;Jaén;23067;8.0;3.0;3.146629172627617;2.527683457804128;Andalucía;2859.0;1843.0;8;2369;0.4340748779164405;11.0;0.5968529571351058;0.4340748779164405;0.1627780792186652
Pego;3;Alicante;3102;155.0;50.0;3.36538461538462;3.55687111801242;Comunitat Valenciana;10240.0;6206.0;316;29146;5.0918466000644536;205.0;3.303254914598776;2.49758298420883;0.8056719303899452
Pelayos de la Presa;28;Madrid;28109;72.0;71.0;5.07957930007446;4.25531914893617;Madrid, Comunidad de;2827.0;3004.0;38;1018;1.2649800266311584;143.0;4.760319573901465;2.396804260985353;2.363515312916112
Peligros;18;Granada;18153;131.0;97.0;4.58333333333333;4.29537190082645;Andalucía;11544.0;4642.0;10;7238;0.2154243860404998;228.0;4.911676001723395;2.822059457130547;2.089616544592848
Peníscola/Peñíscola;12;Castellón/Castelló;12089;378.0;146.0;4.3859649122807;5.60077973906394;Comunitat Valenciana;7882.0;15689.0;2495;179451;15.90286187774874;524.0;3.339919688954044;2.4093313786729555;0.9305883102810888
Pepino;45;Toledo;45132;12.0;27.0;4.09611222111222;3.42761625723086;Castilla-La Mancha;3060.0;1502.0;3;3643;0.199733688415446;39.0;2.596537949400799;0.7989347536617842;1.7976031957390146
Perales de Tajuña;28;Madrid;28110;82.0;41.0;5.70966810966811;3.75;Madrid, Comunidad de;3059.0;1607.0;12;6279;0.7467330429371499;123.0;7.654013690105788;5.102675793403858;2.551337896701929
Pereiro de Aguiar, O;32;Ourense;32058;4.0;54.0;3.0485302148776534;3.67003367003367;Galicia;6470.0;4168.0;27;4045;0.6477927063339731;58.0;1.3915547024952015;0.0959692898272552;1.2955854126679462
Perelló, El;43;Tarragona;43104;49.0;15.0;3.125;3.96825396825397;Cataluña;2846.0;1672.0;193;14914;11.543062200956935;64.0;3.827751196172249;2.930622009569378;0.8971291866028708
Periana;29;Málaga;29079;10.0;14.0;3.99364406779661;2.71880341880342;Andalucía;3159.0;2166.0;63;8892;2.9085872576177287;24.0;1.10803324099723;0.4616805170821791;0.6463527239150508
Peroxa, A;32;Ourense;32059;0.0;6.0;3.0485302148776534;2.918654998896532;Galicia;1826.0;1822.0;9;432;0.4939626783754116;6.0;0.3293084522502744;0.0;0.3293084522502744
Petra;7;Balears, Illes;7041;3.0;107.0;6.730930626584465;3.65853658536585;Balears, Illes;3028.0;1943.0;336;23750;17.292846114256303;110.0;5.661348430262481;0.1544004117344312;5.50694801852805
Petrer;3;Alicante;3104;380.0;97.0;3.6554378082242;3.78669986513124;Comunitat Valenciana;34009.0;17084.0;52;13899;0.3043783657223132;477.0;2.79208616249122;2.2243034418169048;0.5677827206743151
Peñafiel;47;Valladolid;47114;149.0;30.0;3.94736842105263;3.28189540306462;Castilla y León;5068.0;3216.0;24;13295;0.746268656716418;179.0;5.565920398009951;4.633084577114428;0.9328358208955224
Peñaflor;41;Sevilla;41074;3.0;13.0;4.939061551348131;2.72727272727273;Andalucía;3648.0;1821.0;14;1048;0.7688083470620538;16.0;0.8786381109280615;0.1647446457990115;0.7138934651290499
Peñarroya-Pueblonuevo;14;Córdoba;14052;17.0;59.0;2.80898876404494;2.85714285714286;Andalucía;10508.0;6456.0;0;8765;0.0;76.0;1.177199504337051;0.2633209417596034;0.9138785625774474
Picanya;46;Valencia/Valéncia;46193;408.0;94.0;4.66919191919192;5.18183531185227;Comunitat Valenciana;11692.0;4733.0;13;8551;0.2746672300866258;502.0;10.606380731037396;8.620325375026411;1.9860553560109864
Picassent;46;Valencia/Valéncia;46194;800.0;124.0;4.25350991460414;4.77360422065902;Comunitat Valenciana;21487.0;10876.0;53;61870;0.4873115115851416;924.0;8.495770503861714;7.355645457888929;1.140125045972784
Piedrabuena;13;Ciudad Real;13063;9.0;25.0;3.4787665376387884;2.46478873239437;Castilla-La Mancha;4390.0;2668.0;2;12549;0.0749625187406296;34.0;1.2743628185907043;0.3373313343328336;0.9370314842578712
Piedrahíta;5;Ávila;5186;41.0;19.0;3.26923076923077;2.80070754716981;Castilla y León;1754.0;1964.0;24;99;1.2219959266802445;60.0;3.054989816700611;2.0875763747454177;0.9674134419551936
Piedralaves;5;Ávila;5187;43.0;47.0;3.34236947791165;3.54231366459627;Castilla y León;2136.0;2823.0;25;484;0.8855827134254339;90.0;3.1880977683315623;1.5232022670917464;1.664895501239816
Piera;8;Barcelona;8161;362.0;367.0;6.03672189879086;5.56184679601685;Cataluña;16411.0;10224.0;17;30529;0.1662754303599374;729.0;7.130281690140845;3.540688575899844;3.5895931142410014
Pilar de la Horadada;3;Alicante;3902;545.0;336.0;4.33685320182962;4.63529917284348;Comunitat Valenciana;22597.0;22427.0;815;194714;3.6340125741293976;881.0;3.9283007089668702;2.4301065679761003;1.49819414099077
Pilas;41;Sevilla;41075;53.0;105.0;4.11764705882353;3.57142857142857;Andalucía;13856.0;5550.0;7;2946;0.1261261261261261;158.0;2.846846846846846;0.954954954954955;1.891891891891892
Piles;46;Valencia/Valéncia;46195;85.0;35.0;3.84615384615385;3.44827586206897;Comunitat Valenciana;2742.0;3065.0;123;7275;4.01305057096248;120.0;3.9151712887438825;2.7732463295269167;1.1419249592169658
Piloña;33;Asturias;33049;111.0;79.0;3.80435250548158;3.24074074074074;Asturias, Principado de;6921.0;4919.0;170;10294;3.4559869892254524;190.0;3.8625736938402113;2.256556210611913;1.6060174832282983
Pina de Ebro;50;Zaragoza;50208;55.0;32.0;3.96825396825397;3.09364030559571;Aragón;2390.0;1321.0;0;17774;0.0;87.0;6.585919757759274;4.163512490537472;2.4224072672218018
