;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Alcalá del Río;41;Sevilla;41005;97.0;109.0;4.23611111111111;3.7980807104236;Andalucía;12264.0;5024.0;10;5048;0.1990445859872611;206.0;4.100318471337579;1.930732484076433;2.1695859872611467
Alcalá del Valle;11;Cádiz;11002;0.0;8.0;5.012413738285534;4.467965812879639;Andalucía;5031.0;2283.0;6;335;0.2628120893561104;8.0;0.3504161191414805;0.0;0.3504161191414805
Alcalá la Real;23;Jaén;23002;363.0;75.0;3.26658884441903;2.38095238095238;Andalucía;21623.0;12245.0;30;17325;0.244997958350347;438.0;3.576970191915067;2.9644752960392;0.6124948958758677
Alcanar;43;Tarragona;43004;299.0;117.0;4.34782608695652;3.38983050847458;Cataluña;9579.0;7365.0;391;29300;5.308893414799728;416.0;5.648336727766463;4.059742023082145;1.5885947046843176
Alcantarilla;30;Murcia;30005;1062.0;120.0;3.53535353535354;2.9105164159512;Murcia, Región de;42559.0;19604.0;17;17696;0.0867169965313201;1182.0;6.02938175882473;5.417261783309528;0.612119975515201
Alcarràs;25;Lleida;25011;637.0;119.0;5.17241379310345;4.46153846153846;Cataluña;9678.0;4199.0;0;22927;0.0;756.0;18.00428673493689;15.170278637770895;2.834008097165992
Alcaucín;29;Málaga;29002;8.0;45.0;5.801511378442833;3.33333333333333;Andalucía;2366.0;1422.0;92;17351;6.469760900140647;53.0;3.727144866385373;0.5625879043600562;3.1645569620253164
Alcaudete;23;Jaén;23003;59.0;15.0;3.02083333333333;1.74772303886333;Andalucía;10434.0;6207.0;2;8309;0.0322216851941356;74.0;1.1922023521830192;0.9505397132270018;0.2416626389560174
Alcaudete de la Jara;45;Toledo;45006;4.0;13.0;4.157687290851066;1.94444444444444;Castilla-La Mancha;1644.0;1553.0;0;1933;0.0;17.0;1.0946555054732776;0.25756600128783;0.8370895041854475
Alcañiz;44;Teruel;44013;903.0;60.0;3.96039603960396;2.99288412139217;Aragón;16029.0;9263.0;66;26970;0.7125121450933822;963.0;10.396199935226168;9.748461621504912;0.6477383137212566
Alcobendas;28;Madrid;28006;6242.0;547.0;10.544458880306;14.045214045214;Madrid, Comunidad de;116589.0;40862.0;169;193750;0.4135871959277568;6789.0;16.61445842102687;15.275806372668985;1.3386520483578874
Alcolea del Río;41;Sevilla;41006;2.0;8.0;4.939061551348131;3.524814792568226;Andalucía;3348.0;1566.0;1;1063;0.0638569604086845;10.0;0.6385696040868455;0.1277139208173691;0.5108556832694764
Alcoletge;25;Lleida;25012;123.0;20.0;4.98278727445394;4.23158152414139;Cataluña;3492.0;1557.0;2;3337;0.1284521515735388;143.0;9.184328837508028;7.89980732177264;1.2845215157353886
Alcora, l';12;Castellón/Castelló;12005;273.0;45.0;2.83174031777557;2.7027027027027;Comunitat Valenciana;10428.0;6540.0;7;14199;0.1070336391437308;318.0;4.862385321100917;4.174311926605505;0.6880733944954128
Alcorcón;28;Madrid;28007;8234.0;64.0;9.09090909090909;8.23968273696546;Madrid, Comunidad de;170817.0;71689.0;100;126998;0.1394914143034496;8298.0;11.57499755890025;11.485723053746042;0.0892745051542077
Alcorisa;44;Teruel;44014;72.0;21.0;2.99546204620462;2.33766233766234;Aragón;3293.0;2262.0;3;1511;0.1326259946949602;93.0;4.111405835543766;3.183023872679045;0.9283819628647216
Alcover;43;Tarragona;43005;106.0;55.0;4.68854103002893;3.81679389312977;Cataluña;5185.0;2536.0;25;9091;0.9858044164037856;161.0;6.348580441640379;4.17981072555205;2.168769716088328
Alcoy/Alcoi;3;Alicante;3009;2310.0;63.0;3.73784574719154;3.55159176029963;Comunitat Valenciana;59128.0;36672.0;198;48872;0.5399214659685864;2373.0;6.470876963350785;6.299083769633508;0.1717931937172775
Alcuéscar;10;Cáceres;10010;6.0;10.0;2.940886175242486;2.22318209134615;Extremadura;2486.0;1825.0;3;1770;0.1643835616438356;16.0;0.8767123287671232;0.3287671232876712;0.547945205479452
Alcàsser;46;Valencia/Valéncia;46015;329.0;43.0;3.98058252427184;3.47222222222222;Comunitat Valenciana;10266.0;4505.0;5;9935;0.1109877913429522;372.0;8.257491675915649;7.30299667036626;0.9544950055493896
Alcázar de San Juan;13;Ciudad Real;13005;1003.0;208.0;4.74511503309171;3.38983050847458;Castilla-La Mancha;30548.0;15533.0;28;22150;0.1802613789995493;1211.0;7.796304641730509;6.457220112019571;1.339084529710938
Alcázares, Los;30;Murcia;30902;634.0;431.0;4.92957746478873;4.67289719626168;Murcia, Región de;16935.0;21179.0;690;76703;3.257944189999528;1065.0;5.028566032390575;2.9935313282024647;2.035034704188111
Alcúdia;7;Balears, Illes;7003;1084.0;333.0;6.82257892263659;5.40540540540541;Balears, Illes;20651.0;11115.0;4041;701950;36.35627530364373;1417.0;12.748538011695906;9.752586594691858;2.9959514170040484
Alcúdia de Crespins, l';46;Valencia/Valéncia;46020;82.0;16.0;2.85714285714286;3.10369045562721;Comunitat Valenciana;5144.0;2709.0;0;1301;0.0;98.0;3.617571059431525;3.0269472129937247;0.5906238464378
Alcúdia, l';46;Valencia/Valéncia;46019;313.0;44.0;3.4;3.03310328204293;Comunitat Valenciana;12193.0;5476.0;2;11306;0.0365230094959824;357.0;6.519357195032871;5.715850986121256;0.8035062089116143
Aldaia;46;Valencia/Valéncia;46021;1382.0;62.0;4.83870967741935;4.08888269713012;Comunitat Valenciana;32313.0;14223.0;2;38821;0.0140617309990859;1444.0;10.152569781340082;9.716656120368418;0.4359136609716656
Aldea de San Nicolás, La;35;Palmas, Las;35020;40.0;51.0;5.60235611098372;2.59259259259259;Canarias;7516.0;3634.0;187;11283;5.145844799119428;91.0;2.5041276829939463;1.100715465052284;1.4034122179416622
Aldea del Fresno;28;Madrid;28008;68.0;42.0;5.48085387323944;5.07731958762887;Madrid, Comunidad de;3085.0;1987.0;32;3154;1.610468042274786;110.0;5.5359838953195775;3.4222445898339204;2.1137393054856566
Aldea, L';43;Tarragona;43904;127.0;37.0;3.97058823529412;3.15802845528455;Cataluña;4160.0;1892.0;35;26358;1.849894291754757;164.0;8.668076109936575;6.7124735729386895;1.9556025369978856
Aldeamayor de San Martín;47;Valladolid;47007;2.0;194.0;4.556225863716588;4.19270541549953;Castilla y León;5789.0;2908.0;9;3682;0.3094910591471801;196.0;6.740027510316368;0.0687757909215956;6.671251719394773
Aldeanueva de Ebro;26;Rioja, La;26008;10.0;35.0;3.50608595847764;2.66666666666667;Rioja, La;2794.0;1478.0;2;2019;0.13531799729364;45.0;3.044654939106901;0.6765899864682002;2.3680649526387008
Alella;8;Barcelona;8003;254.0;269.0;11.2878337041157;8.67263888888889;Cataluña;9954.0;3726.0;79;18038;2.120236178207193;523.0;14.036500268384328;6.816961889425658;7.219538378958669
Alfacar;18;Granada;18011;85.0;101.0;3.78787878787879;3.07017543859649;Andalucía;5497.0;2993.0;9;6145;0.3007016371533578;186.0;6.214500501169395;2.83995990644838;3.374540594721016
Alfafar;46;Valencia/Valéncia;46022;851.0;52.0;4.65116279069767;4.70861486486486;Comunitat Valenciana;21415.0;9701.0;19;22621;0.1958560973095557;903.0;9.308318730027832;8.772291516338521;0.5360272136893104
Alfajarín;50;Zaragoza;50017;6.0;53.0;4.320547593041594;3.47826086956522;Aragón;2374.0;1252.0;0;30130;0.0;59.0;4.712460063897764;0.4792332268370607;4.233226837060703
Alfara del Patriarca;46;Valencia/Valéncia;46025;287.0;14.0;6.4595589993782;8.15247237904611;Comunitat Valenciana;3301.0;1885.0;5;4105;0.2652519893899204;301.0;15.96816976127321;15.225464190981432;0.7427055702917772
Alfaro;26;Rioja, La;26011;245.0;32.0;3.87205387205387;2.62289068231842;Rioja, La;9562.0;5373.0;8;40499;0.148892611204169;277.0;5.155406662944351;4.559836218127676;0.595570444816676
Alfoz de Lloredo;39;Cantabria;39001;27.0;13.0;6.17647058823529;3.59321305841924;Cantabria;2437.0;1952.0;144;6632;7.377049180327869;40.0;2.0491803278688523;1.3831967213114753;0.6659836065573771
Alfàs del Pi, l';3;Alicante;3011;842.0;280.0;7.04641007100294;6.31011667467106;Comunitat Valenciana;20495.0;12157.0;896;182179;7.370239368265197;1122.0;9.229250637492802;6.926050834909929;2.303199802582874
Algaba, La;41;Sevilla;41007;208.0;143.0;5.35587639311044;4.13793103448276;Andalucía;16484.0;6410.0;6;3415;0.093603744149766;351.0;5.475819032761311;3.244929797191888;2.230889235569423
Algaida;7;Balears, Illes;7004;57.0;206.0;4.91282505910165;4.93825479396165;Balears, Illes;5963.0;2827.0;258;41771;9.126282278033251;263.0;9.303148213654053;2.0162716660771136;7.286876547576937
Algarinejo;18;Granada;18012;1.0;0.0;4.206384226479411;3.2762375705642435;Andalucía;2440.0;1852.0;19;1813;1.0259179265658749;1.0;0.0539956803455723;0.0539956803455723;0.0
Algarrobo;29;Málaga;29005;160.0;25.0;6.75675675675676;5.36133960047003;Andalucía;6551.0;5395.0;219;14077;4.059314179796107;185.0;3.429101019462465;2.9657089898053752;0.4633920296570899
Algeciras;11;Cádiz;11004;2403.0;656.0;5.91856060606061;5.71585213032581;Andalucía;122982.0;55582.0;197;785388;0.3544312907056241;3059.0;5.5035802957792095;4.323342089165557;1.180238206613652
Algemesí;46;Valencia/Valéncia;46029;591.0;47.0;3.36538461538462;3.35059117279871;Comunitat Valenciana;27305.0;13569.0;10;20163;0.0736973984818336;638.0;4.701894023140983;4.355516250276366;0.3463777728646179
Algete;28;Madrid;28009;639.0;183.0;7.16981132075472;6.45327102803738;Madrid, Comunidad de;20749.0;7898.0;49;24455;0.6204102304380856;822.0;10.407698151430742;8.090655862243606;2.317042289187136
Alginet;46;Valencia/Valéncia;46031;327.0;134.0;3.68686868686869;3.35215492665734;Comunitat Valenciana;13942.0;7305.0;13;7892;0.1779603011635865;461.0;6.310746064339494;4.476386036960986;1.834360027378508
Algodonales;11;Cádiz;11005;4.0;38.0;5.012413738285534;2.30654761904762;Andalucía;5526.0;3415.0;87;10542;2.547584187408492;42.0;1.2298682284040996;0.1171303074670571;1.1127379209370425
Algorfa;3;Alicante;3012;18.0;19.0;5.03968253968254;5.6989247311828;Comunitat Valenciana;3396.0;2566.0;172;59682;6.703039750584567;37.0;1.441932969602494;0.7014809041309431;0.7404520654715511
Alguaire;25;Lleida;25016;29.0;21.0;4.10958904109589;2.57142857142857;Cataluña;3065.0;1464.0;6;1228;0.4098360655737705;50.0;3.4153005464480874;1.9808743169398908;1.4344262295081966
Alguazas;30;Murcia;30007;46.0;80.0;3.40357458075905;2.88225171328749;Murcia, Región de;9842.0;4255.0;7;4590;0.1645123384253819;126.0;2.9612220916568743;1.0810810810810811;1.8801410105757927
Alhama de Almería;4;Almería;4011;38.0;14.0;3.48345588235294;2.79432848186296;Andalucía;3733.0;2077.0;16;555;0.7703418391911411;52.0;2.5036109773712085;1.82956186807896;0.6740491092922485
Alhama de Granada;18;Granada;18013;10.0;16.0;3.19830878341517;2.92407660738714;Andalucía;5667.0;3323.0;44;15126;1.324104724646404;26.0;0.7824255191092386;0.3009328919650917;0.4814926271441468
Alhama de Murcia;30;Murcia;30008;630.0;120.0;4.11361804995971;2.91182170542636;Murcia, Región de;22240.0;14118.0;327;113408;2.31619209519762;750.0;5.31236719082023;4.462388440288993;0.8499787505312367
Alhaurín de la Torre;29;Málaga;29007;517.0;462.0;7.29692760942761;6.29688675107444;Andalucía;41868.0;14670.0;406;57082;2.767552828902522;979.0;6.6734832992501705;3.5241990456714385;3.149284253578732
Alhaurín el Grande;29;Málaga;29008;220.0;192.0;5.2502471576866;5.55555555555556;Andalucía;26095.0;11228.0;393;64340;3.5001781261132883;412.0;3.669397933737086;1.9593872461702888;1.7100106875667973
Alhendín;18;Granada;18014;380.0;108.0;5.12820512820513;4.01962204623012;Andalucía;9674.0;4643.0;28;10237;0.6030583674348482;488.0;10.510445832435924;8.184363558044367;2.326082274391557
Alicante/Alacant;3;Alicante;3014;16453.0;703.0;5.83333333333333;6.51260504201681;Comunitat Valenciana;337304.0;195810.0;6752;982255;3.4482406414381286;17156.0;8.761554568203872;8.402533067769777;0.3590215004340942
Aliseda;10;Cáceres;10018;4.0;0.0;2.940886175242486;2.4188792491930404;Extremadura;1751.0;1597.0;14;317;0.8766437069505323;4.0;0.2504696305572949;0.2504696305572949;0.0
Aljaraque;21;Huelva;21002;102.0;227.0;6.1250925000925;4.99603334227228;Andalucía;21706.0;8536.0;16;8619;0.1874414245548266;329.0;3.8542642924086223;1.1949390815370198;2.659325210871603
Allariz;32;Ourense;32001;212.0;84.0;3.49426471767723;3.16764433467119;Galicia;6314.0;6150.0;52;13309;0.8455284552845529;296.0;4.813008130081301;3.4471544715447155;1.3658536585365857
Aller;33;Asturias;33002;177.0;43.0;3.84615384615385;2.08412637990103;Asturias, Principado de;10346.0;8657.0;117;6366;1.351507450617997;220.0;2.541296060991105;2.0445881945246622;0.4967078664664433
Almacelles;25;Lleida;25019;259.0;22.0;3.82882882882883;3.31187032824179;Cataluña;6875.0;3177.0;2;3163;0.0629524708844822;281.0;8.844822159269752;8.152344979540446;0.6924771797293043
Almadén;13;Ciudad Real;13011;43.0;40.0;2.55833764665286;1.98102334505295;Castilla-La Mancha;5105.0;4363.0;6;6274;0.137520055008022;83.0;1.9023607609443045;0.9855603942241576;0.9168003667201466
Almagro;13;Ciudad Real;13013;56.0;115.0;3.2643294653255;2.90056818181818;Castilla-La Mancha;8896.0;4889.0;190;12147;3.886275311924729;171.0;3.497647780732256;1.1454285129883413;2.352219267743915
Almansa;2;Albacete;2009;563.0;68.0;3.77358490566038;3.1585470505925;Castilla-La Mancha;24388.0;11588.0;14;31499;0.1208146358301691;631.0;5.445288229202624;4.858474283741802;0.5868139454608216
Almazán;42;Soria;42020;145.0;14.0;3.96341463414634;3.1299552911266;Castilla y León;5411.0;4014.0;8;20994;0.1993024414549078;159.0;3.961136023916293;3.612356751370205;0.3487792725460887
