;Total_vc;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Poblacion;Inmuebles_totales;Viviendas_turisticas;Turistas;Porcentaje_viviendas_turisticas;Total_casas_alquiler;Porcentaje_viviendas_alquiler;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Utebo;945.0;118.0;5.81395348837209;4.99938694402165;1.0;18856.0;7929.0;7;9851;0.0882835162063312;1063.0;13.406482532475724;11.91827468785471;1.4882078446210114
Utiel;240.0;43.0;3.5078125;2.59762773722628;10.0;11478.0;7145.0;3;12599;0.0419874037788663;283.0;3.960811756473058;3.358992302309307;0.6018194541637508
Utrera;619.0;287.0;4.34782608695652;3.84615384615385;0.0;51145.0;22208.0;36;45360;0.1621037463976945;906.0;4.079610951008646;2.7872838616714697;1.292327089337176
Utrillas;45.0;8.0;3.36499919833253;2.332377020920341;1.0;3003.0;1753.0;0;1195;0.0;53.0;3.0233884768967485;2.567027952082145;0.4563605248146035
Vacarisses;33.0;174.0;5.74324324324324;6.68042452830189;8.0;7082.0;3867.0;23;11266;0.5947763123868632;207.0;5.3529868114817685;0.8533747090768037;4.499612102404965
Val de San Vicente;85.0;27.0;5.35714285714286;4.31510088272383;5.0;2786.0;2475.0;234;7699;9.454545454545457;112.0;4.525252525252525;3.4343434343434343;1.0909090909090908
Val do Dubra;62.0;21.0;2.66783029001074;2.63157894736842;12.0;3816.0;2109.0;25;4385;1.1853959222380277;83.0;3.9355144618302513;2.9397818871503083;0.9957325746799432
Valadouro, O;35.0;19.0;2.54545454545455;1.5625;12.0;1960.0;1653.0;13;1259;0.7864488808227466;54.0;3.266787658802178;2.117362371445856;1.1494252873563218
Valdefresno;2.0;25.0;3.5678083635732585;3.95833333333333;6.0;2208.0;1506.0;1;2162;0.0664010624169986;27.0;1.792828685258964;0.1328021248339973;1.6600265604249669
Valdelacalzada;1.0;23.0;2.962972945965435;2.45114380719118;11.0;2731.0;1158.0;0;318;0.0;24.0;2.0725388601036268;0.0863557858376511;1.986183074265976
