;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Alfoz de Lloredo;13.0;6.17647058823529;3.59321305841924;5.0;6632;1.3831967213114753;0.6659836065573771
Alfàs del Pi, l';280.0;7.04641007100294;6.31011667467106;10.0;182179;6.926050834909929;2.303199802582874
Algaba, La;143.0;5.35587639311044;4.13793103448276;0.0;3415;3.244929797191888;2.230889235569423
Algaida;206.0;4.91282505910165;4.93825479396165;3.0;41771;2.0162716660771136;7.286876547576937
Algarinejo;0.0;4.206384226479411;3.2762375705642435;0.0;1813;0.0539956803455723;0.0
Algarrobo;25.0;6.75675675675676;5.36133960047003;0.0;14077;2.9657089898053752;0.4633920296570899
Algeciras;656.0;5.91856060606061;5.71585213032581;0.0;785388;4.323342089165557;1.180238206613652
Algemesí;47.0;3.36538461538462;3.35059117279871;10.0;20163;4.355516250276366;0.3463777728646179
Algete;183.0;7.16981132075472;6.45327102803738;13.0;24455;8.090655862243606;2.317042289187136
Alginet;134.0;3.68686868686869;3.35215492665734;10.0;7892;4.476386036960986;1.834360027378508
Algodonales;38.0;5.012413738285534;2.30654761904762;0.0;10542;0.1171303074670571;1.1127379209370425
Algorfa;19.0;5.03968253968254;5.6989247311828;10.0;59682;0.7014809041309431;0.7404520654715511
Alguaire;21.0;4.10958904109589;2.57142857142857;8.0;1228;1.9808743169398908;1.4344262295081966
Alguazas;80.0;3.40357458075905;2.88225171328749;15.0;4590;1.0810810810810811;1.8801410105757927
Alhama de Almería;14.0;3.48345588235294;2.79432848186296;0.0;555;1.82956186807896;0.6740491092922485
Alhama de Granada;16.0;3.19830878341517;2.92407660738714;0.0;15126;0.3009328919650917;0.4814926271441468
Alhama de Murcia;120.0;4.11361804995971;2.91182170542636;15.0;113408;4.462388440288993;0.8499787505312367
Alhaurín de la Torre;462.0;7.29692760942761;6.29688675107444;0.0;57082;3.5241990456714385;3.149284253578732
Alhaurín el Grande;192.0;5.2502471576866;5.55555555555556;0.0;64340;1.9593872461702888;1.7100106875667973
Alhendín;108.0;5.12820512820513;4.01962204623012;0.0;10237;8.184363558044367;2.326082274391557
Alicante/Alacant;703.0;5.83333333333333;6.51260504201681;10.0;982255;8.402533067769777;0.3590215004340942
Aliseda;0.0;2.940886175242486;2.4188792491930404;11.0;317;0.2504696305572949;0.0
Aljaraque;227.0;6.1250925000925;4.99603334227228;0.0;8619;1.1949390815370198;2.659325210871603
Allariz;84.0;3.49426471767723;3.16764433467119;12.0;13309;3.4471544715447155;1.3658536585365857
Aller;43.0;3.84615384615385;2.08412637990103;2.0;6366;2.0445881945246622;0.4967078664664433
Almacelles;22.0;3.82882882882883;3.31187032824179;8.0;3163;8.152344979540446;0.6924771797293043
Almadén;40.0;2.55833764665286;1.98102334505295;7.0;6274;0.9855603942241576;0.9168003667201466
Almagro;115.0;3.2643294653255;2.90056818181818;7.0;12147;1.1454285129883413;2.352219267743915
Almansa;68.0;3.77358490566038;3.1585470505925;7.0;31499;4.858474283741802;0.5868139454608216
Almazán;14.0;3.96341463414634;3.1299552911266;6.0;20994;3.612356751370205;0.3487792725460887
Almedinilla;6.0;3.3556591234157507;2.7032598275321136;0.0;1108;0.3961965134706814;0.4754358161648177
Almenar;13.0;3.5;2.5;8.0;790;4.836956521739131;0.7065217391304348
Almenara;45.0;4.96764466002747;3.76106194690266;10.0;16802;4.260089686098655;0.8408071748878924
Almendralejo;103.0;3.33422330097087;3.07692307692308;11.0;33195;3.7627058194138976;0.6122570290673482
Almensilla;78.0;4.939061551348131;4.52519148731332;0.0;1885;0.3326403326403326;3.2432432432432434
Almería;669.0;5.71428571428571;4.43262411347518;0.0;253805;6.950048699039933;0.6648909737820271
Almodóvar del Campo;23.0;2.86262831641404;3.19327731092437;7.0;5364;0.2966625463535228;0.5686032138442522
Almodóvar del Río;44.0;3.84615384615385;3.47949151977596;0.0;3798;0.5278437582475587;1.1612562681446292
Almogía;14.0;5.801511378442833;2.85393114861915;0.0;7249;0.2632964718272775;0.7372301211163771
Almoines;15.0;3.93258426966292;3.62903225806452;10.0;600;2.363488182559087;1.2224938875305624
Almonte;145.0;4.82954545454545;4.08163265306122;0.0;77193;0.6420206011006068;1.0229998588965712
Almoradí;79.0;3.40909090909091;3.23529411764706;10.0;47080;4.124112440424083;0.7684077424375061
Almorox;29.0;3.630713649096;3.18181818181818;7.0;1198;0.9251810136765888;1.166532582461786
Almudévar;41.0;4.35490019514741;3.68852459016393;1.0;5360;2.306648575305292;2.7815468113975577
Almunia de Doña Godina, La;131.0;4.62533479660521;3.24675324675325;1.0;11518;7.593457943925234;3.825934579439252
Almussafes;31.0;3.7037037037037;3.38983050847458;10.0;50684;7.791575359142927;0.754808862916971
Almuñécar;145.0;5.88235294117647;5.26315789473684;0.0;232358;3.2315446190335013;0.5373554699080937
Almàssera;14.0;4.76190476190476;4.54246881335688;10.0;2481;7.987668161434978;0.3923766816143498
Alosno;15.0;4.313293184460584;3.0188679245283;0.0;6373;0.1710863986313088;0.6415739948674081
Alovera;231.0;6.56328320802005;4.92537313432836;7.0;21608;10.44703595724004;5.612244897959184
Alozaina;12.0;5.801511378442833;2.57622843898764;0.0;2504;0.2772002772002772;0.8316008316008316
Alpedrete;227.0;7.97872340425532;6.45645645645646;13.0;5322;10.081593140644449;3.1392615129304384
Alpera;14.0;3.027839300212005;2.17008253732727;7.0;2361;0.4132231404958678;0.8264462809917356
Alpicat;59.0;5.1655719759168;4.61328976034858;8.0;5147;3.7225042301184432;2.495769881556684
Altafulla;138.0;7.857997265892;6.5316276897061;8.0;14056;4.724409448818897;3.104611923509561
Altea;272.0;6.04150751209575;5.43992898007497;10.0;274434;8.707027684818984;1.6550045634317003
Altura;46.0;3.08641975308642;3.20494864612512;10.0;3637;2.424035506998976;1.5705018777739843
Alzira;189.0;3.83940468514937;3.39285714285714;10.0;75803;5.005514549927887;0.8017307202850598
Amer;59.0;4.59653838898321;3.5;8.0;3840;5.405405405405405;4.309715120525931
Ames;117.0;4.75204918032787;3.62103174603175;12.0;31366;18.36053412462908;0.723293768545994
Ametlla de Mar, L';89.0;4.73684210526316;4.72165803108808;8.0;119781;3.2751963786446545;1.1849287711356675
Ametlla del Vallès, L';252.0;7.81746864385683;6.0980750163703;8.0;5324;2.066115702479338;7.43801652892562
Amoeiro;32.0;3.0485302148776534;2.75601386911897;12.0;335;0.1642036124794745;1.7515051997810618
Ampolla, L';54.0;5.55555555555556;5.24780976220275;8.0;39042;5.473742706307307;1.5004167824395664
Amposta;105.0;4.09090909090909;3.03030303030303;8.0;38056;7.456677752494311;0.9189567652721864
Ampuero;15.0;4.01149425287356;4.0810502283105;5.0;113;3.1232571109871725;0.4182933630786392
Andorra;32.0;3.30658113952506;2.22546342270771;1.0;2477;3.5578747628083494;0.7590132827324478
