;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Melide;38.0;2.79050144648023;2.83837709538644;12.0;3672;3.818537859007833;0.6201044386422977
Melilla;506.0;8.34249054229216;5.99068479873406;14.0;261399;8.650211251945741;1.8753242902675855
Membrilla;24.0;3.39436444885799;2.52118644067797;7.0;6203;0.4881025015253203;0.7321537522879805
Menasalbas;21.0;2.27272727272727;1.76211453744493;7.0;3839;0.5238344683080147;1.1000523834468308
Mengíbar;16.0;3.03939024390244;2.03608342561831;0.0;2980;1.8275725069527216;0.3178386968613428
Mequinenza;46.0;5.2;3.96196748811997;1.0;17084;1.146788990825688;3.516819571865444
Mercadal, Es;84.0;5.88235294117647;4.57714230755614;3.0;252459;5.012759752096245;1.5311702515493986
Mesía;11.0;3.66003568353889;2.6663961038961;12.0;2357;0.0;0.7503410641200545
Miajadas;67.0;2.83554888507719;2.52061797752809;11.0;12028;2.603593692702604;1.2284561789512285
Miengo;107.0;6.70238095238095;5.33333333333333;5.0;8803;8.323632130384167;3.1140861466821885
Mieres;133.0;4.54545454545455;3.53535353535354;2.0;18277;4.660529344073648;0.5466052934407365
Mieres;14.0;5.879446029324413;3.29714437492833;8.0;18277;0.008219628472793;0.0575373993095512
Miguel Esteban;36.0;2.86474164133739;2.35761975175875;7.0;1832;1.0829103214890017;1.218274111675127
Miguelturra;124.0;3.95170618854829;3.41625716625717;7.0;7781;5.087440381558029;1.642819289878113
Mijas;559.0;7.27961707219785;6.97674418604651;0.0;835587;5.770837477620847;1.1119952257807837
Minas de Riotinto;22.0;4.313293184460584;5.58404995904996;0.0;311;0.2195871761089152;0.966183574879227
Minglanilla;19.0;3.4065477979121965;2.36889927310488;7.0;3098;0.1427551748750892;1.3561741613133476
Miraflores de la Sierra;194.0;6.3566701497736;5.0390625;13.0;4618;5.640399104052128;3.950315618000407
Miramar;44.0;4.38144329896907;4.44302721088435;10.0;7212;2.002951718321737;0.9276829011174362
Miranda de Ebro;47.0;5.42168674698795;4.3010752688172;6.0;191170;6.571815718157182;0.2122854561878952
Mislata;38.0;5.37037037037037;6.00076103500761;10.0;12753;10.041192363910174;0.1683128847942596
Miño;76.0;4.21917934897485;3.65658595704555;12.0;4743;7.122953674677813;1.3235806339254614
Moaña;149.0;4.52411358173077;3.48696501358696;12.0;22726;3.789026977872082;1.5055067192078408
Mocejón;46.0;4.25678785089738;2.87940201084382;7.0;624;3.819918144611187;2.0918599363346977
Moclín;17.0;4.206384226479411;2.64885176106309;0.0;2383;0.1802451333813987;0.6128334534967556
Mogente/Moixent;8.0;2.79195011337868;3.646915814862397;10.0;17301;2.483615039668851;0.2759572266298724
Moguer;143.0;4.85294117647059;4.54545454545455;0.0;64407;1.622090143635463;1.770678553739475
Mogán;591.0;11.1407054639085;8.77551020408163;4.0;976281;4.589612177770978;4.520767995104413
Moià;210.0;5.30312892998211;3.97534522439586;8.0;6429;9.484193011647257;5.8236272878535775
Mojados;56.0;4.32432432432432;3.20381231671554;6.0;1303;1.1308562197092085;3.0156165858912223
Mojonera, La;53.0;3.83720930232558;3.21100917431193;0.0;14952;0.6315007429420505;1.9687964338781576
Mojácar;84.0;6.00328947368421;4.68812464548018;0.0;93385;2.431806484817293;1.080802882141019
Molar, El;144.0;7.14285714285714;4.92113760556384;13.0;8877;15.809947207557656;4.001111419838844
Molar, El;5.0;4.928276361968281;4.13879946689426;8.0;8877;0.0555709919422061;0.1389274798555154
Molina de Aragón;15.0;3.56830024054389;3.57275132275132;7.0;4057;4.593175853018373;0.4921259842519685
Molina de Segura;545.0;4.49438202247191;4.47761194029851;15.0;105658;4.888352444176222;1.7310929708096432
Molinos, Los;129.0;6.21577694565708;5.42857142857143;13.0;1550;4.031977754605492;4.483837330552659
Molins de Rei;127.0;8.79120879120879;6.42857142857143;8.0;25818;10.278964563960796;1.063918907598224
Mollerussa;40.0;4.54545454545455;2.95702915453755;8.0;10082;15.111307680967125;0.5897095680377414
Mollet del Vallès;185.0;7.63888888888889;6.43107504116678;8.0;45367;12.166688416199053;0.8047326982469877
Mollina;59.0;3.80434782608696;3.00899755040512;0.0;4075;1.6977225672877847;2.443064182194617
Molvízar;8.0;4.206384226479411;3.2762375705642435;0.0;2468;0.0717875089734386;0.574300071787509
Monachil;101.0;5.21457085828343;3.87755102040816;0.0;20484;4.7599784250269686;1.3619201725997845
Moncada;113.0;5.55555555555556;5.94728909527883;10.0;29324;8.157550868023147;1.0546947918611165
Moncofa;66.0;5.28169014084507;4.21099290780142;10.0;19639;4.246909427297957;0.5550416281221091
Monda;34.0;5.57458143074581;4.03629836457918;0.0;10805;2.419354838709677;2.7419354838709675
Mondariz;30.0;3.96341463414634;3.16721803923795;12.0;5395;1.346433770014556;1.091703056768559
Mondoñedo;23.0;2.97364145833008;2.10115663248136;12.0;3563;1.48830616583983;0.815024805102764
Mondéjar;34.0;3.84615384615385;2.65842013888889;7.0;4502;4.334554334554334;2.075702075702076
Monesterio;26.0;2.94211228561825;1.93877033759803;11.0;25015;1.131770412287793;1.0509296685529508
Monfero;10.0;3.66003568353889;1.46329365079365;12.0;2304;0.090497737556561;0.9049773755656108
Monforte de Lemos;80.0;3.04918265813788;2.73423535253227;12.0;11882;5.10103151052706;0.5652112477038294
Monforte del Cid;100.0;3.4184429270778;3.64209130098375;10.0;14019;2.648744811227515;1.97667523225934
Monistrol de Montserrat;22.0;6.01681397207466;5.60967944688875;8.0;4589;10.963855421686748;1.3253012048192772
Monreal del Campo;34.0;2.67857142857143;2.32407407407407;1.0;9127;3.442240373395566;1.9836639439906647
Mont-roig del Camp;446.0;6.09001862934929;6.05449657869013;8.0;267857;2.779959164441652;3.502434427516884
Montblanc;85.0;4.41176470588235;3.81944444444444;8.0;32421;5.990783410138249;2.0616056269706524
Montbrió del Camp;27.0;6.0241935483871;4.54545454545455;8.0;1281;16.2426614481409;2.641878669275929
Montcada i Reixac;207.0;7.93884220354809;5.74712643678161;8.0;79249;9.36840084469188;1.3246304473027453
Montealegre del Castillo;15.0;3.027839300212005;1.29740518962076;7.0;2752;0.6472491909385113;1.2135922330097086
Montefrío;13.0;4.206384226479411;1.61290322580645;0.0;8602;0.2688172043010752;0.499231950844854
Montehermoso;17.0;1.71428571428571;1.66758040935672;11.0;1873;1.066350710900474;0.5035545023696683
Montejícar;3.0;4.206384226479411;3.2762375705642435;0.0;144;0.0;0.1691093573844419
Montellano;21.0;4.939061551348131;2.68817204301075;0.0;1515;0.0799360511590727;0.5595523581135092
Montemayor;10.0;3.3556591234157507;1.69135037607061;0.0;306;0.4805125467164976;0.5339028296849974
Monterrei;4.0;3.0485302148776534;2.918654998896532;12.0;47820;0.0;0.1672240802675585
Monterroso;10.0;2.97619047619048;1.27583979328165;12.0;2754;2.3057485786481364;0.3158559696778269
Monterrubio de la Serena;9.0;2.962972945965435;2.3957267070095725;11.0;1817;0.15600624024961;0.4680187207488299
Montesinos, Los;37.0;4.164855466203;4.40251572327044;10.0;29525;3.133556434438698;1.1256464861575906
Montgat;44.0;9.69893617021277;8.5853343398856;8.0;15410;11.228287841191069;0.9098428453267164
Montijo;107.0;3.18484042553191;2.56032547699214;11.0;5469;2.672822257319888;1.2999635524237638
Montilla;34.0;4.21188872255489;2.71632251720747;0.0;26524;2.3223449595546666;0.2957293206923545
Montmeló;68.0;6.92812758906379;6.07767508170611;8.0;21581;9.48807290270705;1.8225676762262129
Montornès del Vallès;68.0;7.07890070921986;6.66666666666667;8.0;57299;11.85897435897436;0.9906759906759908
Montoro;26.0;3.34990167799215;2.70833333333333;0.0;9557;1.045016077170418;0.522508038585209
Montserrat;153.0;3.7469806763285;4.50980392156863;10.0;13340;4.013743557707325;2.389504919568952
Montuïri;132.0;6.0;3.17511047979798;3.0;16001;1.371571072319202;8.229426433915211
Monzón;59.0;4.2721688034188;3.79242669129531;1.0;21216;10.0990099009901;0.6490649064906491
Monóvar/Monòver;44.0;2.88720139218478;2.87301587301587;10.0;17406;2.020348837209302;0.6395348837209303
Mora;69.0;3.11985076590516;2.74632352941176;7.0;7124;2.5752629669931086;1.251360174102285
Moral de Calatrava;18.0;2.74509803921569;1.98160650316892;7.0;1683;0.3200465522257782;0.523712540005819
Moraleda de Zafayona;9.0;4.206384226479411;3.2762375705642435;0.0;4802;0.0760456273764258;0.6844106463878327
Moraleja;41.0;2.5;2.12765957446809;11.0;16238;1.552728056933362;0.8841923657537201
Moraleja de Enmedio;44.0;6.25014842562595;5.77254641909814;13.0;6761;5.27165142549758;2.366863905325444
Moralzarzal;320.0;7.97101449275362;6.29155593093093;13.0;6926;5.56385982394951;5.314731772130875
Morata de Tajuña;106.0;5.84065186660605;3.83974358974359;13.0;2061;7.186322804984062;3.0715734569689945
Moratalla;17.0;2.97058823529412;2.37166991552956;15.0;11976;0.5899705014749262;0.2785971812520485
Moraña;17.0;3.03030303030303;3.2520325203252;12.0;1235;1.9881783987103707;0.9134873723804406
Morcín;33.0;4.32388685065028;3.21006343713956;2.0;841;2.2170361726954493;1.925320886814469
Morell, El;32.0;5.16497003826438;4.09254439681568;8.0;1763;10.919540229885058;2.0434227330779056
Morella;38.0;3.81396259522537;2.82606060258619;10.0;24908;3.259075907590759;1.5676567656765676
Morón de la Frontera;147.0;4.10716625966454;3.36538461538462;0.0;15240;1.6403965480350902;1.0484273589615576
Mos;60.0;4.44444444444444;2.85542355772964;12.0;48326;0.863811799301599;1.1027384671935303
Mota del Cuervo;61.0;2.54955983024922;2.65957446808511;7.0;1765;0.9174311926605504;1.8654434250764529
Motilla del Palancar;70.0;3.41880341880342;3.25016949152542;7.0;14208;3.6934184948625375;1.9439044709802835
Motril;236.0;4.81927710843374;3.89636268496885;0.0;92669;4.239972319075883;0.6281440472705012
Moya;1.0;3.4065477979121965;2.580710336211729;7.0;7876;0.0;0.0219394471259324
Moya;112.0;5.74279763970844;3.61263736263736;4.0;7876;2.237823606845108;2.457218078104432
Muela, La;215.0;5.36882712688734;4.70588235294118;1.0;18314;11.373260738052029;6.503327283726557
Mugardos;47.0;3.64619795312865;2.83505154639175;12.0;3021;2.242152466367713;1.4050822122571
Mula;59.0;2.95058823529412;2.55102040816327;15.0;30063;2.579191185676725;0.7387003881307124
Munera;16.0;2.37646302259519;1.62428870919437;7.0;402;0.48;0.64
Murcia;1685.0;5.49450549450549;3.92156862745098;15.0;549776;7.5966756892776015;0.7639748455047901
Muro;196.0;5.40381334019442;3.6537216828479;3.0;442028;2.867383512544803;4.683393070489845
Muro de Alcoy;52.0;3.07446091644205;2.97749125874126;10.0;8954;3.5368504248172297;1.0274649278798655
Muros;35.0;3.03997001262626;2.3972602739726;12.0;10264;1.0732213951878138;0.6058507876060238
Museros;27.0;5.12181759587496;4.80769230769231;10.0;16811;11.166253101736972;0.8374689826302729
Mutxamel;209.0;5.19480519480519;6.16883116883117;10.0;48866;5.511039886039886;1.8607549857549857
Muxía;25.0;2.80934343434343;2.10843373493976;12.0;28178;1.3192612137203166;0.8245382585751979
Málaga;1763.0;7.8125;5.75539568345324;0.0;1613452;8.05490092431484;0.6471672209619042
Méntrida;121.0;4.69515423237317;3.98936170212766;7.0;3254;1.751127620058371;3.21040063677368
Mérida;223.0;4.31265551209451;3.67671691792295;11.0;98512;7.2473867595818815;0.7400033184005309
Móra d'Ebre;53.0;4.12371134020619;2.98913043478261;8.0;5020;5.127427184466019;1.608009708737864
Móra la Nova;53.0;3.46534653465347;2.67051091269841;8.0;1041;2.58349086326402;3.3396345305608066
Móstoles;183.0;8.12417195567705;7.29166666666667;13.0;135541;10.5033573494094;0.2242317306278488
Nambroca;160.0;4.13986688626086;3.03030303030303;7.0;1471;0.4790419161676646;6.387225548902196
Narón;139.0;3.72340425531915;2.72277227722772;12.0;16371;8.040058576219945;0.6566205300203127
Nava;49.0;4.25735294117647;3.31491712707182;2.0;3979;2.624965093549288;1.3683328679139906
Nava de la Asunción;52.0;3.34249084249084;3.16985544217687;6.0;4020;2.22452146921883;2.6901189860320747
Nava del Rey;17.0;4.556225863716588;3.25581395348837;6.0;17450;0.2592352559948153;1.101749837977965
Navacerrada;57.0;7.29016323024055;5.7756357103372;13.0;3514;6.2717770034843205;2.4825783972125435
Navahermosa;24.0;2.3450213004765;1.70938287153652;7.0;3567;0.306654400490647;0.7359705611775529
Navalagamella;144.0;5.9854128203518;4.80929399415845;13.0;4542;5.706134094151213;10.271041369472185
Navalcarnero;301.0;7.0;5.40540540540541;13.0;31947;9.917557750387724;2.456942290425272
Navalcán;6.0;4.157687290851066;2.993223743943696;7.0;733;0.2958579881656805;0.2958579881656805
Navalmoral de la Mata;67.0;3.92156862745098;3.54523941488437;11.0;14305;9.69250555360692;0.7833508710394014
Navalmorales, Los;11.0;4.157687290851066;1.97368421052632;7.0;756;0.1483679525222551;0.5440158259149357
Navalucillos, Los;20.0;4.157687290851066;2.12315268452993;7.0;2724;0.2746174970576697;0.7846214201647705
Navaluenga;35.0;3.5;3.00411522633745;6.0;1626;0.7600184246890834;0.8060801473975127
Navalvillar de Pela;16.0;2.1978021978022;1.56976846874481;11.0;3470;0.3755547968589962;0.5462615227039945
Navarrete;4.0;3.77941176470588;3.336079012169648;16.0;1195;4.07503234152652;0.258732212160414
Navarrés;58.0;2.28432282003711;1.82820855614973;10.0;2133;2.4761904761904763;2.761904761904762
Navas de San Juan;8.0;3.146629172627617;2.527683457804128;0.0;3148;0.1430615164520744;0.2861230329041488
Navas del Marqués, Las;56.0;3.67647058823529;2.90565882257746;6.0;2542;4.63779225756995;1.073208125718666
Navas del Rey;146.0;5.37804517314965;3.91358255458504;13.0;596;2.193995381062356;8.429561200923787
Navia;30.0;4.65457972943003;3.2065119625832;2.0;10046;6.717850287907869;0.6397952655150352
Navàs;80.0;4.25257731958763;2.5263269864908;8.0;1740;8.28696925329429;2.342606149341142
Neda;54.0;2.99107142857143;2.20337301587302;12.0;2151;2.736131934032984;2.0239880059970017
Negreira;15.0;3.15662067306948;1.93798449612403;12.0;8396;8.157319737800437;0.3641660597232338
Nerja;188.0;6.80194805194805;6.34342871299393;0.0;298260;3.0405405405405403;1.0950605778191984
Nerva;23.0;4.313293184460584;2.86120629801339;0.0;2043;0.0686813186813186;0.7898351648351648
Neves, As;16.0;3.98841354723708;2.7180260010073;12.0;109780;0.5436893203883495;0.6213592233009708
Niebla;12.0;4.313293184460584;3.45460095460095;0.0;24857;0.407955124936257;0.6119326874043856
Nigrán;228.0;6.3018341307815;4.63398692810458;12.0;48805;4.764111595143201;2.113263509129669
Noblejas;30.0;4.61538461538462;2.56205128205128;7.0;3826;1.9839142091152813;1.6085790884718498
Nogueira de Ramuín;10.0;3.0485302148776534;3.1229683291539;12.0;5798;0.1923816852635629;0.3847633705271258
Noia;66.0;3.3603587550487;2.39510489510489;12.0;10464;4.408300616937745;0.7403252944475603
Noja;10.0;5.93220338983051;4.36188963240219;5.0;13805;0.5779862623555034;0.0837661249790584
Noreña;36.0;4.84097222222222;4.31825814131448;2.0;1358;9.765226267437903;1.2249064307587614
Novelda;64.0;3.24074074074074;3.09597852943682;10.0;18407;2.816306414137858;0.4506090262620573
Novés;73.0;4.157687290851066;3.04347826086956;7.0;1279;0.4303388918773534;3.92684238838085
Nucia, la;472.0;5.0;6.0306342364532;10.0;69659;2.7586996336996337;5.402930402930403
Nueva Carteya;6.0;3.3556591234157507;2.7032598275321136;0.0;2529;0.2976190476190476;0.2232142857142857
Nuevo Baztán;136.0;6.91136854542415;5.33653846153846;13.0;3453;0.0253871541000253;3.4526529576034526
Nules;71.0;3.41181084038304;2.82258064516129;10.0;46290;3.855179349648005;0.793384735724662
Numancia de la Sagra;63.0;5.8451437264793;3.98550724637681;7.0;4680;7.616521409624858;2.387267904509284
Nájera;6.0;3.94104431852448;3.336079012169648;16.0;4347;5.73905862923204;0.1238645747316267
Níjar;320.0;4.0;3.28769591064673;0.0;190881;1.0667271901951885;2.4209411408685124
Obejo;35.0;3.3556591234157507;4.73684210526316;0.0;1945;0.3864734299516908;3.3816425120772946
Ocaña;55.0;4.90909090909091;3.18627450980392;7.0;22649;16.05402394876079;0.7658033973823447
Ogíjares;181.0;4.80468465637833;4.44444444444444;0.0;7545;4.739336492890995;2.5994542582220306
Oia;39.0;4.185609799188884;3.24596875681662;12.0;18382;0.1198322348711803;2.3367285799880166
Ojén;38.0;7.40740740740741;5.15046296296296;0.0;27058;8.740204942736588;2.2905364677516578
Oleiros;452.0;5.74712643678161;4.59671474661569;12.0;51367;9.56142740397712;2.462544265867611
Olesa de Montserrat;152.0;7.14761904761905;5.50855586249233;8.0;11878;11.76173139158576;1.5372168284789645
Oliva;140.0;3.42071123321123;3.90117694805195;10.0;132198;3.864887759423973;0.7412113511224058
Oliva de la Frontera;13.0;2.962972945965435;2.22222222222222;11.0;9260;0.2220988339811216;0.3609106052193226
Oliva, La;585.0;7.45121777524569;7.21518987341772;4.0;898624;7.601778397698544;5.09981692964868
Olivares;111.0;4.70058139534884;3.43284996359286;0.0;2348;1.110830598333754;2.802322645796516
Olivella;131.0;7.2758907154332;6.19834710743802;8.0;23241;0.7113821138211383;6.65650406504065
Olivenza;120.0;3.21757402548726;3.12390350877193;11.0;122802;2.442428471737613;2.09351011863224
Olleria, l';15.0;2.64880952380952;2.52013808975834;10.0;6277;2.3949283869452924;0.3521953510213665
Olmedo;12.0;3.76325269758017;3.87590886677425;6.0;3389;3.4529147982062782;0.5381165919282511
Olot;617.0;5.34687423878623;4.44444444444444;8.0;49270;12.366634335596508;3.740300678952473
Olula del Río;22.0;3.21428571428571;3.00536027098527;0.0;1181;3.0862569242943816;0.5803218148245846
Olvera;23.0;2.98149468306303;2.82920671479825;0.0;17406;0.3943400603108327;0.5335189051264208
Olèrdola;94.0;7.16342838196287;4.81191501503092;8.0;7785;1.4109347442680775;5.526161081716637
Olías del Rey;151.0;4.93827160493827;4.09862869198312;7.0;3669;4.61494087107009;4.3553504470723965
Onda;96.0;3.62637362637363;3.31761006289308;10.0;60696;5.64242992001153;0.6917921741010304
Ondara;54.0;4.0;3.07142857142857;10.0;26926;6.054947986129634;1.440384102427314
Onil;26.0;3.19148936170213;2.28141664519554;10.0;2316;3.957485300768883;0.5879692446856626
Ontinyent;63.0;3.38046098728201;3.28051087984863;10.0;39672;5.633023461708721;0.348605577689243
Ontígola;157.0;6.10828994253402;4.59183673469388;7.0;7484;2.4775736864587783;6.706535668517727
Orba;28.0;3.85188564476886;3.12519074650552;10.0;11994;1.3095238095238095;1.6666666666666667
Ordes;58.0;3.41880341880342;2.13525835866261;12.0;14973;6.74346362930365;0.7507118819570282
Orellana la Vieja;15.0;3.4361943773281;2.19298245614035;11.0;576;0.5628517823639775;0.7035647279549718
Orgaz;19.0;4.157687290851066;2.45901639344262;7.0;3056;0.1810500905250452;1.1466505733252867
Oria;5.0;3.995843624895013;3.2061202807089906;0.0;3749;0.3679175864606328;0.3679175864606328
Orihuela;666.0;4.01785714285714;5.33167834890966;10.0;950738;1.553487542367842;0.9900695724564428
Oropesa;27.0;4.07965417711257;3.26705308826274;7.0;11525;1.147776183644189;1.291248206599713
Oropesa del Mar/Orpesa;125.0;5.71428571428571;4.91071428571429;10.0;76668;4.2642611859976425;0.6406642406847419
Oroso;53.0;3.87931034482759;3.17919075144509;12.0;8494;10.86720867208672;1.4363143631436317
Orotava, La;305.0;5.0;4.46375786163522;4.0;182981;4.028776978417266;1.7553956834532374
Ortigueira;59.0;3.0721234424569;2.0;12.0;8060;1.9067796610169487;1.1363636363636365
Ossa de Montiel;8.0;3.027839300212005;2.441288893370269;7.0;3753;0.273972602739726;0.4383561643835616
Osuna;129.0;3.78108711839166;2.94117647058824;0.0;23702;1.377755511022044;1.6157314629258517
Ourense;389.0;4.45987748683827;3.87440557065217;12.0;82028;11.7619660812625;0.5328913120907423
Outeiro de Rei;49.0;2.8216744173774844;3.86740331491713;12.0;10013;0.0;1.9537480063795851
Outes;27.0;2.45295698924731;2.27272727272727;12.0;6380;0.8047767393561787;0.7009345794392523
Oviedo;320.0;6.52173913043478;4.21701443816698;2.0;194465;12.859856446665733;0.249116415214785
Paderne;31.0;3.66003568353889;3.03030303030303;12.0;2152;0.3433476394849785;2.660944206008584
Padrenda;5.0;3.0485302148776534;2.918654998896532;12.0;11715;0.0638977635782747;0.3194888178913738
Padrón;31.0;3.84615384615385;2.41190476190476;12.0;25880;4.097698829228906;0.6257569640694388
Padul;72.0;3.62211007591442;3.69912153650391;0.0;8467;1.6919142238835334;1.4164863269722603
Paiporta;48.0;5.0;4.06297717799513;10.0;13331;10.102899906454631;0.4081979760183689
Palacios y Villafranca, Los;43.0;4.24272213024283;3.53682170542636;0.0;12804;1.0721385969894917;0.305310991195683
Palafolls;102.0;7.51321775884126;5.74051071447239;8.0;34356;8.79765395894428;2.300924881570043
Palafrugell;341.0;5.76923076923077;4.56722906001096;8.0;216532;5.575465601316021;2.0034075553727746
Palamós;243.0;6.82353174603174;5.48780487804878;8.0;151762;8.330610911466842;1.9846455406729824
Palas de Rei;18.0;2.52933614832273;2.53541881369518;12.0;6232;0.6818181818181818;0.6818181818181818
Palau d'Anglesola, El;15.0;4.86666666666667;3.4375;8.0;3736;3.4949267192784665;1.6910935738444195
Palau-solità i Plegamans;318.0;7.58917553191489;7.08435065690036;8.0;23956;6.712211784799317;5.431255337318532
Palazuelos de Eresma;68.0;5.42282111082318;4.73761904761905;6.0;4210;8.378491037932472;2.83451438099208
Palencia;121.0;5.20877378435518;4.3202614379085;6.0;59655;9.442567930982552;0.2603214216561605
Pallaresos, Els;49.0;5.89473684210526;5.59440559440559;8.0;650;0.9518477043673012;2.7435610302351625
Pallejà;94.0;8.78378378378378;6.95283252101434;8.0;10745;9.67674661105318;1.9603753910323252
Palma;2185.0;8.33333333333333;6.89655172413793;3.0;3415244;14.702042557175476;1.136487758700503
Palma de Cervelló, La;45.0;8.25653427072315;6.27509599863413;8.0;1216;15.326251896813352;3.4142640364188166
Palma del Condado, La;66.0;3.70555555555556;3.21611505122143;0.0;4773;1.0712814173877214;1.3597033374536465
Palma del Río;38.0;3.79310344827586;3.12244590259892;0.0;11441;1.810481736368449;0.4023292747485442
Palmas de Gran Canaria, Las;1409.0;7.04545454545455;4.39882697947214;4.0;808237;10.211660656019234;0.7561609136184098
Palomares del Río;130.0;6.1576354679803;4.99227138643068;0.0;3410;0.4163775156141568;4.510756419153366
Palos de la Frontera;59.0;4.74581724581725;4.25531914893617;0.0;47697;1.6763678696158324;1.3736903376018623
Pals;44.0;6.5;4.37029547241883;8.0;115667;0.9980525803310614;1.071080817916261
Pantoja;38.0;3.81049888309754;3.91166870665035;7.0;3112;2.2140221402214024;2.337023370233702
Pantón;25.0;2.8216744173774844;1.88153458021008;12.0;4870;0.3575685339690107;1.4898688915375446
Papiol, El;68.0;7.57984630419332;5.84375290869039;8.0;9973;9.129287598944591;3.588390501319261
Paracuellos de Jarama;353.0;8.90774125132556;7.61904761904762;13.0;51242;19.284940411700976;6.374142289635247
Paradas;11.0;4.939061551348131;2.43478260869565;0.0;3125;0.1520218911523259;0.334448160535117
Paradela;5.0;2.8216744173774844;2.2057685839005488;12.0;1664;0.0;0.4716981132075472
Paredes de Nava;7.0;3.06122448979592;3.3804530394102783;6.0;577;0.7801418439716312;0.4964539007092198
Parets del Vallès;174.0;7.86516853932584;6.31269243794171;8.0;42127;9.744450180691793;2.245740836344863
Parla;271.0;7.2289156626506;6.4;13.0;78096;11.270760258631618;0.5726239276507628
Parres;45.0;4.33063271604938;3.18181818181818;2.0;8427;4.7340165934602245;1.0980966325036603
Paso, El;103.0;5.13865309992063;4.12371134020619;4.0;12639;1.6216216216216215;2.783783783783784
Pastoriza, A;13.0;2.8216744173774844;1.30597014925373;12.0;1776;0.5369928400954654;0.7756563245823389
Paterna;521.0;5.44554455445545;6.77083333333333;10.0;106537;9.07673599201771;1.624520594929999
Paterna del Campo;11.0;4.313293184460584;2.85714285714286;0.0;198;0.2371072910491997;0.6520450503852994
Pazos de Borbén;16.0;4.185609799188884;3.3881812334034;12.0;657;0.0710227272727272;1.1363636363636365
Peal de Becerro;18.0;2.75987565395405;1.62433326489739;0.0;1298;1.0211027910142954;0.6126616746085772
Pechina;20.0;3.90782828282828;3.81184161921867;0.0;2342;1.58494304110946;0.9905894006934126
Pedralba;46.0;3.09278350515464;3.37724601411579;10.0;4648;0.8757297748123436;1.9182652210175144
Pedreguer;120.0;3.96596420554754;3.69872238897868;10.0;40508;2.3618327822390173;1.889466225791214
Pedrera;7.0;4.939061551348131;3.524814792568226;0.0;1082;0.1794526693584567;0.3140421713772992
Pedrezuela;233.0;7.14285714285714;5.79268292682927;13.0;1882;12.75828140373893;7.641849786815349
Pedro Abad;20.0;3.3556591234157507;3.34219858156028;0.0;103;0.4691689008042895;1.3404825737265416
Pedro Muñoz;51.0;4.13362487852284;1.88356164383562;7.0;1922;1.5681003584229392;1.14247311827957
Pedrola;90.0;3.98272851976556;3.79611330698287;1.0;50401;5.147484094852516;5.205320994794679
Pedroso, El;24.0;4.939061551348131;2.82549120525879;0.0;2163;0.2911208151382823;1.7467248908296944
Pedroñeras, Las;57.0;3.31806680903358;2.53623188405797;7.0;2710;1.41718334809566;1.682905225863596
Pegalajar;3.0;3.146629172627617;2.527683457804128;0.0;2369;0.4340748779164405;0.1627780792186652
Pego;50.0;3.36538461538462;3.55687111801242;10.0;29146;2.49758298420883;0.8056719303899452
Pelayos de la Presa;71.0;5.07957930007446;4.25531914893617;13.0;1018;2.396804260985353;2.363515312916112
Peligros;97.0;4.58333333333333;4.29537190082645;0.0;7238;2.822059457130547;2.089616544592848
Peníscola/Peñíscola;146.0;4.3859649122807;5.60077973906394;10.0;179451;2.4093313786729555;0.9305883102810888
Pepino;27.0;4.09611222111222;3.42761625723086;7.0;3643;0.7989347536617842;1.7976031957390146
Perales de Tajuña;41.0;5.70966810966811;3.75;13.0;6279;5.102675793403858;2.551337896701929
Pereiro de Aguiar, O;54.0;3.0485302148776534;3.67003367003367;12.0;4045;0.0959692898272552;1.2955854126679462
Perelló, El;15.0;3.125;3.96825396825397;8.0;14914;2.930622009569378;0.8971291866028708
Periana;14.0;3.99364406779661;2.71880341880342;0.0;8892;0.4616805170821791;0.6463527239150508
Peroxa, A;6.0;3.0485302148776534;2.918654998896532;12.0;432;0.0;0.3293084522502744
Petra;107.0;6.730930626584465;3.65853658536585;3.0;23750;0.1544004117344312;5.50694801852805
Petrer;97.0;3.6554378082242;3.78669986513124;10.0;13899;2.2243034418169048;0.5677827206743151
Peñafiel;30.0;3.94736842105263;3.28189540306462;6.0;13295;4.633084577114428;0.9328358208955224
Peñaflor;13.0;4.939061551348131;2.72727272727273;0.0;1048;0.1647446457990115;0.7138934651290499
Peñarroya-Pueblonuevo;59.0;2.80898876404494;2.85714285714286;0.0;8765;0.2633209417596034;0.9138785625774474
Picanya;94.0;4.66919191919192;5.18183531185227;10.0;8551;8.620325375026411;1.9860553560109864
Picassent;124.0;4.25350991460414;4.77360422065902;10.0;61870;7.355645457888929;1.140125045972784
Piedrabuena;25.0;3.4787665376387884;2.46478873239437;7.0;12549;0.3373313343328336;0.9370314842578712
Piedrahíta;19.0;3.26923076923077;2.80070754716981;6.0;99;2.0875763747454177;0.9674134419551936
Piedralaves;47.0;3.34236947791165;3.54231366459627;6.0;484;1.5232022670917464;1.664895501239816
Piera;367.0;6.03672189879086;5.56184679601685;8.0;30529;3.540688575899844;3.5895931142410014
Pilar de la Horadada;336.0;4.33685320182962;4.63529917284348;10.0;194714;2.4301065679761003;1.49819414099077
Pilas;105.0;4.11764705882353;3.57142857142857;0.0;2946;0.954954954954955;1.891891891891892
